Command	Explanation & Link
git branch	Used to manage branches
git branch <name> 	Creates the branch
git branch -d <name>	Deletes the branch
git branch -D <name>	Forcibly deletes the branch
git checkout <branch> 	Switches to a branch.
git checkout -b <branch>	Creates a new branch and switches to it.
git merge <branch> 	Merge joins branches together.
git merge --abort	If there are merge conflicts (meaning files are incompatible), --abort can be used to abort the merge action.
git log --graph --oneline	This shows a summarized view of the commit history for a repo.

